pc_code,pc_description,unit,country_code,country_name,quantity,value,Year

99,Other Commodities,Na,599,Unspecified,NA,371.280801,2014

99,Other Commodities,Na,1213,Kenya,NA,18.251164,2014

99,Other Commodities,Na,1395,Tanzania Rep,NA,21.8441,2014

99,Other Commodities,Na,1417,Uganda,NA,8.034605,2014

99,Other Commodities,Na,2035,Benin,NA,1.812666,2014

99,Other Commodities,Na,2050,Burkina Faso,NA,0.388851,2014

99,Other Commodities,Na,2057,Cameroon,NA,0.893831,2014

99,Other Commodities,Na,2067,C Afri Rep,NA,0.520453,2014

99,Other Commodities,Na,2069,Chad,NA,0.008746,2014

99,Other Commodities,Na,2087,Congo P Rep,NA,1.305564,2014

99,Other Commodities,Na,2141,Gabon,NA,0.189981,2014

99,Other Commodities,Na,2199,Cote D' Ivoire,NA,2.01026,2014

99,Other Commodities,Na,2241,Madagascar,NA,0.526392,2014

99,Other Commodities,Na,2255,Mauritania,NA,0.179651,2014

99,Other Commodities,Na,2257,Mauritius,NA,2.165936,2014

99,Other Commodities,Na,2289,Niger,NA,0.354779,2014

99,Other Commodities,Na,2345,Rwanda,NA,0.694902,2014

99,Other Commodities,Na,2353,Senegal,NA,0.583421,2014

99,Other Commodities,Na,2399,Togo,NA,1.846712,2014

99,Other Commodities,Na,2459,Congo D. Rep.,NA,1.552282,2014

99,Other Commodities,Na,3011,Angola,NA,0.662927,2014

99,Other Commodities,Na,3041,Botswana,NA,0.050752,2014

99,Other Commodities,Na,3053,Burundi,NA,2.860889,2014

99,Other Commodities,Na,3063,Cape Verde Is,NA,0.127725,2014

99,Other Commodities,Na,3085,Comoros,NA,0.057967,2014

99,Other Commodities,Na,3102,Djibouti,NA,0.228736,2014

99,Other Commodities,Na,3115,Ethiopia,NA,4.334386,2014

99,Other Commodities,Na,3116,Eritrea,NA,0.046591,2014

99,Other Commodities,Na,3117,Equtl Guinea,NA,0.016089,2014

99,Other Commodities,Na,3143,Gambia,NA,0.113243,2014

99,Other Commodities,Na,3149,Ghana,NA,26.957833,2014

99,Other Commodities,Na,3167,Guinea,NA,0.411008,2014

99,Other Commodities,Na,3169,Guinea Bissau,NA,0.000003,2014

99,Other Commodities,Na,3227,Lesotho,NA,0.06313,2014

99,Other Commodities,Na,3229,Liberia,NA,1.367514,2014

99,Other Commodities,Na,3243,Malawi,NA,19.440902,2014

99,Other Commodities,Na,3249,Mali,NA,0.287403,2014

99,Other Commodities,Na,3267,Mozambique,NA,6.428245,2014

99,Other Commodities,Na,3269,Namibia,NA,0.338099,2014

99,Other Commodities,Na,3291,Nigeria,NA,25.85481,2014

99,Other Commodities,Na,3339,Reunion,NA,0.183981,2014

99,Other Commodities,Na,3349,Sao Tome,NA,0.003334,2014

99,Other Commodities,Na,3355,Seychelles,NA,0.479127,2014

99,Other Commodities,Na,3357,Sierra Leone,NA,0.173877,2014

99,Other Commodities,Na,3363,Somalia,NA,0.136208,2014

99,Other Commodities,Na,3371,St Helena,NA,0.001412,2014

99,Other Commodities,Na,3385,Swaziland,NA,0.097292,2014

99,Other Commodities,Na,3461,Zambia,NA,9.677725,2014

99,Other Commodities,Na,4005,Algeria,NA,6.064376,2014

99,Other Commodities,Na,4111,Egypt A Rp,NA,11.58499,2014

99,Other Commodities,Na,4231,Libya,NA,0.791546,2014

99,Other Commodities,Na,4265,Morocco,NA,2.447902,2014

99,Other Commodities,Na,4365,South Africa,NA,42.915719,2014

99,Other Commodities,Na,4381,Sudan,NA,5.220935,2014

99,Other Commodities,Na,4407,Tunisia,NA,2.582924,2014

99,Other Commodities,Na,4463,Zimbabwe,NA,1.442721,2014

99,Other Commodities,Na,5059,Canada,NA,13.738763,2014

99,Other Commodities,Na,5423,U S A,NA,422.466925,2014

99,Other Commodities,Na,6015,Argentina,NA,2.608346,2014

99,Other Commodities,Na,6039,Bolivia,NA,0.162109,2014

99,Other Commodities,Na,6043,Brazil,NA,17.831487,2014

99,Other Commodities,Na,6073,Chile,NA,2.862085,2014

99,Other Commodities,Na,6083,Colombia,NA,1.413973,2014

99,Other Commodities,Na,6109,Ecuador,NA,0.314112,2014

